Description,Date,Day,Week,Activity,Activity Detail,Priority,Distance,Elevation,Duration,Target Pace/Effort,HR Zone,Training Goal,Workout Details
4 mi easy run,2026-07-01,Wednesday,23,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Recovery,Easy flat run
Rest day,2026-07-02,Thursday,23,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest; Independence Day
8 mi final long effort,2026-07-03,Friday,23,Run,Run - Moderate,Key Workout,8 miles,800 ft,1 hr 30 min,Easy,Z2,Final long effort,Trail run; easy pace; feel good
Yoga/Mobility,2026-07-04,Saturday,23,Yoga/Mobility,Yoga/Mobility,Important,-,-,30 min,-,-,Deep recovery,Thorough stretching; foam rolling
Rest day,2026-07-05,Sunday,24,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
4 mi shakeout,2026-07-06,Monday,24,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Shakeout,Very easy; loose run
4 mi shakeout with strides,2026-07-07,Tuesday,24,Run,Run - Easy,Important,4 miles,300 ft,38 min,Easy,Z2,Light shakeout,Easy run with a few strides to stay sharp
3 mi final shakeout,2026-07-08,Wednesday,24,Run,Run - Easy,Important,3 miles,100 ft,28 min,Easy,Z1,Final shakeout,Very short; very easy
Rest day,2026-07-09,Thursday,24,Rest,Rest,Important,-,-,-,-,-,Pre-race rest,Complete rest; travel to Salmon Idaho if needed; packet pickup; final prep
BEAVERHEAD 100K,2026-07-10,Friday,24,Run,Run - Race,Key Workout,62.1 miles,12700 ft,12-16 hrs,Race effort,Z2-Z3,RACE DAY,Execute race plan; nutrition every 30-45 min; stay within yourself early; finish strong!
Post-race recovery,2026-07-11,Saturday,24,Active Recovery,Active Recovery,Important,Walking/stretching,-,30 min,Very easy,-,Post-race recovery,Light walking; stretching; celebrate your accomplishment!
